1.02490000000000010.3257
2.02751.0841
3.02970000000000050.7387
4.03262.5373
5.0363.2146999999999992
6.0386000000000013.0090999999999997
7.0414999999999991.8579999999999999
8.0438999999999990.8763
9.04711.9256000000000002
10.05042.9926
11.0529000000000012.2078
12.05622.7003
13.0589000000000012.2255000000000003
14.0621000000000013.1129000000000002
15.06571.4726
16.06723.9418
17.0694999999999982.0144
18.07232.0993
19.0763.2729
20.07842.9177999999999997
21.08120.9480999999999999
22.0840000000000031.7492999999999999
23.0871000000000033.3842
24.09032.2266999999999997
25.0932000000000032.2824
26.0964999999999952.3656000000000006
27.10052.8924
28.10273.0085
29.10563.0578
30.1078999999999978.168700000000001
31.11030.9374000000000001
32.11262.4209
33.11472.5435
34.11783.9051
35.1202000000000043.7967
36.1222999999999962.617
37.12522.9371
38.12791.2285000000000001
39.13062.2602
40.1331999999999951.9097000000000002
41.13572.5016000000000007
42.13834.2797
43.14132.3805
44.1452.6643
45.1478000000000042.6494
46.1498999999999951.8784999999999998
47.15232.7766
48.154800000000012.1474
49.15711.3865
50.1607999999999952.5923000000000007
51.164000000000012.3936
52.166599999999992.435
53.17062.8113
54.17462.4132000000000002
55.17744.7069
56.179999999999994.3210999999999995
57.1821.6988
58.18612.6298
59.18911.7180000000000002
