totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
totalServiced,totalRejected
888.0,193.0
