totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
totalServiced,totalRejected
8126.0,1975.0
