1.00325999999999980.0
2.006120.07351999999999999
3.00873000000000030.38724000000000003
4.0114500000000011.1337
5.0146199999999971.70773
6.0178899999999992.3402199999999995
7.0208399999999973.5123999999999986
8.0237800000000042.81108
9.0267200000000052.4400199999999996
10.0295300000000033.2411699999999994
11.0324999999999922.702979999999999
12.0358800000000023.0032999999999994
13.0386899999999992.9398299999999993
14.0417000000000022.7288700000000006
15.044622.90672
16.047682.0024200000000008
17.0506899999999962.704589999999999
18.054252.41846
19.0572300000000043.27088
20.0602199999999972.81184
21.0630400000000082.7271399999999995
22.066192.8057
23.0689900000000072.3679799999999998
24.0722199999999942.1083
25.0753800000000032.6069699999999996
26.0783499999999862.39328
27.0812700000000142.3581499999999997
28.084562.6631000000000005
29.0878600000000062.6510899999999995
30.0907299999999942.4735699999999996
31.0936199999999942.632809999999999
32.096629999999982.6964099999999993
33.099832.8941199999999996
34.1032499999999962.6399600000000003
35.105980000000012.3644299999999996
36.109472.4915399999999988
37.112020000000012.9149700000000007
38.115191.9738200000000006
39.1183800000000162.30885
40.121352.52774
41.124649999999982.47749
42.128269999999992.81737
43.131890000000022.6112599999999997
44.134900000000012.6100199999999996
45.138059999999992.8078400000000006
46.141019999999991.9242800000000002
47.143699999999992.3757900000000003
48.1467599999999862.4749899999999996
49.149670000000023.478859999999999
50.1529000000000242.1098500000000007
51.155830000000012.7721200000000006
52.158762.61721
53.161699999999992.69125
54.164810000000022.773769999999999
55.167742.02721
56.1708299999999952.11206
57.1739900000000252.404059999999999
58.177282.9907200000000005
59.1802799999999752.6084899999999998
